feature_extraction_method,ngram_range,lemmatization,annotator,model,f1_score
tfidf,"(2, 3)",False,all,knn,0.8232781539438974
tfidf,"(3, 3)",True,final,logistic regression,0.8372513878865598
tfidf,"(3, 3)",True,final,multinomial naive bayes,0.8363731570350513
tfidf,"(3, 3)",True,final,support vector machine,0.8378737767733782
tfidf,"(3, 3)",True,final,random forest,0.8436709845610215
tfidf,"(3, 3)",True,final,knn,0.8372513878865598
tfidf,"(3, 3)",True,all,logistic regression,0.8232781539438974
tfidf,"(3, 3)",True,all,multinomial naive bayes,0.8224017184242705
tfidf,"(3, 3)",True,all,support vector machine,0.8238994478340876
tfidf,"(3, 3)",True,all,random forest,0.8298443794014756
tfidf,"(3, 3)",True,all,knn,0.8232781539438974
tfidf,"(3, 3)",False,final,logistic regression,0.8372513878865598
tfidf,"(3, 3)",False,final,multinomial naive bayes,0.8363731570350513
tfidf,"(3, 3)",False,final,support vector machine,0.8378737767733782
tfidf,"(3, 3)",False,final,random forest,0.8420508685051157
tfidf,"(3, 3)",False,final,knn,0.8372513878865598
tfidf,"(3, 3)",False,all,logistic regression,0.8232781539438974
tfidf,"(3, 3)",False,all,multinomial naive bayes,0.8224017184242705
tfidf,"(3, 3)",False,all,support vector machine,0.8238994478340876
tfidf,"(3, 3)",False,all,random forest,0.8280075371087825
tfidf,"(3, 3)",False,all,knn,0.8232781539438974
